VariantID,HostID
101001,102001
101002,102001
101003,102001
101004,102001
101005,102001
101006,102001
101007,102001
101008,102001
101009,102001
101010,102001
101011,102001
101012,102001
101013,102001
101014,102001
101015,102001
101016,102001
101017,102001
101018,102001
101019,102001
101020,102001
101021,102001
101022,102001
101023,102001
101024,102001
101025,102001
101026,102001
101027,102001
101001,102006
101001,102009
101002,102006
101004,102006
101005,102006
101006,102002
101007,102003
101012,102010
101014,102004
101015,102004
101016,102004
101014,102008
101027,102004
101018,102005
101019,102005
101025,102007
101026,102007
